YEAR,AADTT,TRAFFIC_OPEN_DATE,SN,PRECIPITATION,TEMPERATURE,IRI,STATION_ID
1989,1190.0,1985,6.099999905,1372.800049,12.0,0.8983999966,34_1638
1989,490.0,1985,3.299999952,260.7999878,6.099999905,1.2738000156,16_1021
1989,151.0,1982,4.300000191,634.2000122,6.0,1.0314000128,30_1001
1989,195.0,1984,3.200000048,1546.099976,16.20000076,1.0447999716,37_1030
1989,1690.0,1985,8.300000191,1125.199951,7.199999809,0.7237999914,23_1012
1989,290.0,1984,7.900000095,1063.300049,5.900000095,1.2304000138,50_1002
1989,210.0,1970,4.0,810.5,15.80000019,1.7331999782,6_1253
1989,450.0,1981,7.199999809,1212.699951,9.899999619,1.5255999804,18_2009
1989,41.0,1982,2.799999952,205.5,9.5,0.8882000087999999,53_1501
1989,198.0,1983,6.300000191,309.1000061,7.199999809,0.9082000018,56_2018
1989,586.0,1984,4.800000191,1177.5,5.099999905,1.7536000014,85_1801
1989,195.0,1983,4.800000191,1403.699951,4.400000095,0.8586000086000001,85_1808
1989,200.0,1975,4.900000095,768.5999756,7.900000095,1.1773999932,26_1010
1989,520.0,1976,4.199999809,434.0,15.10000038,0.8940000058,6_2647
1990,78.0,1975,4.900000095,926.5,9.5,1.1959999798,26_1010
1990,40.0,1971,2.5,937.0999756,7.400000095,0.9002000034,26_1001
1990,170.0,1970,3.700000048,941.4000244,6.800000191,1.6910000086,27_1029
1990,252.0,1989,5.699999809,1505.5,16.70000076,1.0501999856000002,28_3082
1990,562.0,1980,4.5,1345.800049,17.70000076,0.7168000102,13_4111
1990,446.0,1985,3.299999952,232.0,7.199999809,1.2409000158999999,16_1021
1990,252.0,1974,3.900000095,825.0,21.79999924,0.9465999958,12_9054
1990,298.0,1986,5.199999809,1543.5,20.29999924,0.7021999954,12_4108
1990,214.0,1983,2.799999952,1189.300049,23.89999962,1.1495999814,12_4107
1990,326.0,1984,4.400000095,804.7999878,21.79999924,0.8110000016000001,12_4105
1990,259.0,1982,4.0,1383.900024,25.60000038,0.6525999901999999,12_4103
1990,207.0,1976,4.800000191,1239.900024,25.10000038,0.870999992,12_4099
1990,1240.0,1986,5.199999809,1146.800049,20.20000076,0.7003999947999999,12_4097
1990,203.0,1974,4.300000191,1165.199951,23.5,1.0742000104,12_3996
1990,212.0,1986,7.199999809,1235.800049,14.0,0.9540666700666667,17_1003
1990,13.0,1978,2.0,1612.099976,17.10000038,1.4611999988000002,28_3083
1990,289.0,1985,5.5,1311.300049,18.5,0.9694000125999999,1_1021
1990,172.0,1982,4.300000191,360.3999939,7.300000191,1.0279000044,30_1001
1990,200.0,1983,4.800000191,1552.199951,4.199999809,0.9535999892,85_1808
1990,446.0,1984,4.800000191,1533.800049,5.199999809,2.0207999705999997,85_1801
1990,182.0,1983,6.300000191,284.2000122,7.599999905,0.906400001,56_2018
1990,42.0,1982,2.799999952,269.1000061,10.10000038,1.001999998,53_1501
1990,220.0,1984,7.900000095,1285.800049,7.800000191,1.2222000359999998,50_1002
1990,110.0,1974,2.599999905,612.7000122,16.5,2.3216000558,48_3609
1990,126.0,1970,3.0,1139.400024,20.70000076,0.876999998,48_3559
1990,592.0,1986,6.5,940.2999878,22.29999924,1.2460000038,48_1060
1990,901.0,1984,6.300000191,1302.800049,19.39999962,1.1095999716,48_1049
1990,140.0,1971,3.299999952,1484.800049,14.80000019,1.8502000094,47_3075
1990,62.0,1970,2.400000095,1645.099976,16.29999924,1.4184000014,45_1008
1990,350.0,1984,4.0,630.0,15.39999962,2.0130000114,40_4165
1990,297.0,1978,3.0,1374.599976,17.60000038,1.5138000012,40_1015
1990,203.0,1984,3.200000048,1115.300049,17.39999962,1.1028000117999999,37_1030
1990,354.0,1982,4.199999809,403.1000061,8.699999809,1.4083999874,35_2006
1990,11.0,1984,3.700000048,368.1000061,16.39999962,0.780799997,35_1112
1990,594.0,1986,3.599999905,312.2999878,9.699999809,0.6828000186,35_1022
1990,1250.0,1985,6.099999905,1137.0,13.80000019,0.9420000076000001,34_1638
1990,699.0,1975,5.699999809,1430.900024,25.10000038,1.0079999922,12_3995
1990,598.0,1974,4.400000095,1348.699951,14.30000019,0.7976999997,29_1005
1990,253.0,1979,4.0,1335.900024,25.29999924,0.6406000016,12_1060
1990,124.0,1986,5.800000191,1496.099976,18.10000038,1.0644000054,28_1016
1990,2237.0,1973,3.5,92.19999695,22.89999962,0.7083999992,6_8151
1990,2396.0,1988,8.0,1706.300049,17.0,0.8148000002,1_4126
1990,1962.0,1976,5.199999809,193.6999969,18.10000038,1.472999978,6_2004
1990,133.0,1971,4.0,166.5,19.29999924,1.320600009,6_8201
1990,77.0,1981,4.199999809,1527.400024,17.39999962,1.6401999952000001,5_3048
1990,636.0,1972,4.099999905,1331.699951,19.10000038,0.9540999948,1_4125
1990,210.0,1970,4.0,725.2000122,16.10000038,1.743599987,6_1253
1991,248.0,1975,2.799999952,436.3999939,24.39999962,1.529000044,15_7080
1991,297.0,1978,3.0,1250.0,17.10000038,1.583800006,40_1015
1991,1282.0,1981,3.099999905,1172.0,16.70000076,1.4289999844,40_1017
1991,351.0,1984,4.900000095,786.5,23.70000076,1.807000041,15_1008
