VISIT_DATE,CONSTRUCTION_NO,STATE_CODE,STATE_CODE_EXP,VISIT_NO,RUN_NUMBER,SHRP_ID,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,IRI_CENTER_LANE,MRI
12-06-1990,1,1,Alabama,01412601,2,4126,0.888000011,0.749000013,,0.819000006
07-29-1992,1,1,Alabama,01412503,5,4125,1.001000047,0.833000004,,0.916999996
02-02-1994,1,1,Alabama,01412603,1,4126,0.806999981,0.874000013,,0.841000021
06-17-1999,1,1,Alabama,01102105,1,1021,1.057000041,1.31099999,,1.184000015
02-17-1994,1,1,Alabama,01102103,2,1021,0.828000009,1.126000047,,0.976999998
12-13-1995,1,1,Alabama,01102104,3,1021,0.876999974,1.151000023,,1.014000058
02-10-1992,1,1,Alabama,01412602,1,4126,0.875,0.81400001,,0.845000029
02-02-1994,1,1,Alabama,01412603,5,4126,0.788999975,0.910000026,,0.848999977
07-29-1992,1,1,Alabama,01412503,2,4125,1.041000009,0.800999999,,0.921000004
01-09-1996,1,1,Alabama,01412604,5,4126,1.018000007,0.873000026,,0.94599998
08-23-1994,1,1,Alabama,01412504,2,4125,1.019999981,1.177999973,,1.098999977
04-03-1992,1,1,Alabama,01102102,2,1021,0.852999985,1.001000047,,0.926999986
02-17-1994,1,1,Alabama,01102103,1,1021,0.824999988,1.129999995,,0.976999998
12-13-1995,1,1,Alabama,01102104,1,1021,0.898000002,1.11500001,,1.006999969
12-11-1990,1,1,Alabama,01412502,1,4125,1.047999978,0.875999987,,0.962000012
06-06-1990,1,1,Alabama,01102101,2,1021,0.834999979,1.088999987,,0.962000012
01-09-1996,1,1,Alabama,01412604,4,4126,0.999000013,0.896000028,,0.948000014
07-29-1992,1,1,Alabama,01412503,1,4125,1.013000011,0.84799999,,0.930999994
06-17-1999,1,1,Alabama,01102105,2,1021,0.987999976,1.350999951,,1.16900003
04-20-1999,1,1,Alabama,01412506,4,4125,1.226999998,1.210000038,,1.218000054
09-22-1994,1,5,Arkansas,05304804,1,3048,1.927000046,1.470999956,,1.699000001
11-16-1990,1,5,Arkansas,05304801,3,3048,2.131999969,1.164000034,,1.648000002
04-16-2003,1,5,Arkansas,05304807,6,3048,2.767999887,4.323999882,,3.546000004
11-04-2004,1,5,Arkansas,05304808,7,3048,3.049000025,4.43900013,,3.743999958
11-04-2004,1,5,Arkansas,05304808,4,3048,3.052000046,4.815999985,,3.934000015
04-16-2003,1,5,Arkansas,05304807,4,3048,2.700000048,4.421999931,,3.561000109
04-16-2003,1,5,Arkansas,05304807,2,3048,2.790999889,4.349999905,,3.571000099
04-16-2003,1,5,Arkansas,05304807,7,3048,2.631999969,4.373000145,,3.503000021
11-04-2004,1,5,Arkansas,05304808,3,3048,2.90199995,4.110000134,,3.506000042
02-08-2001,1,5,Arkansas,05304806,5,3048,2.648999929,3.119999886,,2.884000063
02-08-2001,1,5,Arkansas,05304806,6,3048,2.566999912,3.188999891,,2.878000021
04-16-2003,1,5,Arkansas,05304807,5,3048,2.704999924,4.367000103,,3.536000013
02-08-2001,1,5,Arkansas,05304806,4,3048,2.505000114,3.194000006,,2.849999905
02-08-2001,1,5,Arkansas,05304806,2,3048,2.52699995,3.217000008,,2.871999979
03-23-1998,1,5,Arkansas,05304805,5,3048,1.995000005,2.039999962,,2.017999887
03-23-1998,1,5,Arkansas,05304805,4,3048,2.069999933,2.177999973,,2.124000072
03-23-1998,1,5,Arkansas,05304805,1,3048,2.049000025,2.200000048,,2.124000072
03-23-1998,1,5,Arkansas,05304805,6,3048,1.876000047,1.889999986,,1.883000016
03-23-1998,1,5,Arkansas,05304805,7,3048,1.958999991,2.049000025,,2.003999949
12-10-1991,1,5,Arkansas,05304802,6,3048,2.046000004,1.273000002,,1.659999967
09-22-1994,1,5,Arkansas,05304804,4,3048,1.944000006,1.409999967,,1.677000046
09-09-1993,1,5,Arkansas,05304803,1,3048,1.944000006,1.442000031,,1.692999959
11-16-1990,1,5,Arkansas,05304801,6,3048,2.188999891,1.16900003,,1.67900002
09-09-1993,1,5,Arkansas,05304803,3,3048,1.942999959,1.468999982,,1.70599997
11-16-1990,1,5,Arkansas,05304801,4,3048,2.075999975,1.164999962,,1.620000005
09-22-1994,1,5,Arkansas,05304804,5,3048,2.003000021,1.343000054,,1.672999978
12-10-1991,1,5,Arkansas,05304802,4,3048,2.095000029,1.251999974,,1.674000025
12-10-1991,1,5,Arkansas,05304802,5,3048,2.138000011,1.200000048,,1.66900003
11-04-2004,1,5,Arkansas,05304808,9,3048,3.066999912,4.306000233,,3.687000036
11-04-2004,1,5,Arkansas,05304808,2,3048,3.072000027,4.764999866,,3.91899991
09-09-1993,1,5,Arkansas,05304803,5,3048,1.991999984,1.39199996,,1.692000031
09-22-1994,1,5,Arkansas,05304804,6,3048,1.957999945,1.366999984,,1.661999941
09-09-1993,1,5,Arkansas,05304803,2,3048,1.967000008,1.371000051,,1.66900003
12-10-1991,1,5,Arkansas,05304802,3,3048,2.039999962,1.248000026,,1.644000053
09-09-1993,1,5,Arkansas,05304803,6,3048,1.960999966,1.409000039,,1.684999943
11-16-1990,1,5,Arkansas,05304801,5,3048,2.040999889,1.226999998,,1.633999944
09-22-1994,1,5,Arkansas,05304804,7,3048,1.952000022,1.363999963,,1.657999992
12-10-1991,1,5,Arkansas,05304802,1,3048,2.056999922,1.26699996,,1.661000013
11-16-1990,1,5,Arkansas,05304801,9,3048,2.051000118,1.18900001,,1.620000005
02-08-2001,1,5,Arkansas,05304806,7,3048,2.453000069,3.25999999,,2.857000113
03-29-1995,1,6,California,06820105,8,8201,1.337000012,1.398000002,,1.366999984
